"COUNTRY","Country","WEEK","Week number","GENDER","Gender","AGE","Age","VARIABLE","Variable","YEAR","Year","Value","Flag Codes","Flags"
"IRL","Ireland","37","37","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2022","2022",10,,
"IRL","Ireland","37","37","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2023","2023",12,,
"NLD","Netherlands","1","1","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2021","2021",15.5,,
"NLD","Netherlands","1","1","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2022","2022",2.5,,
"USA","United States","46","46","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2020","2020",10654,,
"USA","United States","46","46","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2021","2021",7326,,
"USA","United States","46","46","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2022","2022",2258,,
"USA","United States","46","46","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2023","2023",1401,,
"GBR","United Kingdom","41","41","FEMALE","Females","Y_GE65","65 and over","COVIDNB","COVID-19 deaths (number)","2020","2020",179,,
"GBR","United Kingdom","41","41","FEMALE","Females","Y_GE65","65 and over","COVIDNB","COVID-19 deaths (number)","2021","2021",318,,
"GBR","United Kingdom","41","41","FEMALE","Females","Y_GE65","65 and over","COVIDNB","COVID-19 deaths (number)","2022","2022",287,,
"GBR","United Kingdom","41","41","FEMALE","Females","Y_GE65","65 and over","COVIDNB","COVID-19 deaths (number)","2023","2023",151,,
"NOR","Norway","7","7","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2021","2021",4,,
"NOR","Norway","7","7","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2022","2022",71,,
"SWE","Sweden","5","5","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2021","2021",269,,
"SWE","Sweden","5","5","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2022","2022",359,,
"SWE","Sweden","5","5","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2023","2023",105,,
"CHL","Chile","16","16","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2020","2020",53,,
"CHL","Chile","16","16","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2021","2021",687,,
"CHL","Chile","16","16","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2022","2022",144,,
"CHL","Chile","16","16","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2023","2023",76,,
"EST","Estonia","26","26","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2020","2020",0,,
"EST","Estonia","26","26","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2021","2021",0.3,,
"EST","Estonia","26","26","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2022","2022",2.4,,
